Region Index,Level_5,Level_4,Level_3,Level_2,Level_1
235,IOWM_R,PeripheralOccipitalWM_R,PosteriorWM_R,WhiteMatter_R,Telencephalon_R
236,CuWM_L,PeripheralOccipitalWM_L,PosteriorWM_L,WhiteMatter_L,Telencephalon_L
237,CuWM_R,PeripheralOccipitalWM_R,PosteriorWM_R,WhiteMatter_R,Telencephalon_R
238,LWM_L,PeripheralOccipitalWM_L,PosteriorWM_L,WhiteMatter_L,Telencephalon_L
239,LWM_R,PeripheralOccipitalWM_R,PosteriorWM_R,WhiteMatter_R,Telencephalon_R
240,rostralWM_ACC_L,PeripheralCingulateWM_L,LimbicWM_L,WhiteMatter_L,Telencephalon_L
241,rostralWM_ACC_R,PeripheralCingulateWM_R,LimbicWM_R,WhiteMatter_R,Telencephalon_R
242,subcallosalWM_ACC_L,PeripheralCingulateWM_L,LimbicWM_L,WhiteMatter_L,Telencephalon_L
243,subcallosalWM_ACC_R,PeripheralCingulateWM_R,LimbicWM_R,WhiteMatter_R,Telencephalon_R
244,subgenualWM_ACC_L,PeripheralCingulateWM_L,LimbicWM_L,WhiteMatter_L,Telencephalon_L
245,subgenualWM_ACC_R,PeripheralCingulateWM_R,LimbicWM_R,WhiteMatter_R,Telencephalon_R
246,dorsalWM_ACC_L,PeripheralCingulateWM_L,LimbicWM_L,WhiteMatter_L,Telencephalon_L
247,dorsalWM_ACC_R,PeripheralCingulateWM_R,LimbicWM_R,WhiteMatter_R,Telencephalon_R
248,PCCWM_L,PeripheralCingulateWM_L,LimbicWM_L,WhiteMatter_L,Telencephalon_L
249,PCCWM_R,PeripheralCingulateWM_R,LimbicWM_R,WhiteMatter_R,Telencephalon_R
250,CerebellumWM_R,CerebellumWM_R,Cerebellum_R,Metencephalon_R,Metencephalon
251,CerebellumWM_L,CerebellumWM_L,Cerebellum_L,Metencephalon_L,Metencephalon
252,MCP_cb_L,CerebellumWM_L,Cerebellum_L,Metencephalon_L,Metencephalon
253,MCP_cb_R,CerebellumWM_R,Cerebellum_R,Metencephalon_R,Metencephalon
254,ICP_pons_L,Pons_L,Pons_L,Metencephalon_L,Metencephalon
255,ICP_pons_R,Pons_R,Pons_R,Metencephalon_R,Metencephalon
256,FrontSul_L,FrontSul_L,FrontSul_L,Sulcus_L,CSF
257,FrontSul_R,FrontSul_R,FrontSul_R,Sulcus_R,CSF
258,CentralSul_L,CentralSul_L,CentralSul_L,Sulcus_L,CSF
259,CentralSul_R,CentralSul_R,CentralSul_R,Sulcus_R,CSF
260,SylFrontSul_L,SylFrontSul_L,SylvianFissureExt_L,Sulcus_L,CSF
261,SylFrontSul_R,SylFrontSul_R,SylvianFissureExt_R,Sulcus_R,CSF
262,SylTempSul_L,SylTempSul_L,SylvianFissureExt_L,Sulcus_L,CSF
263,SylTempSul_R,SylTempSul_R,SylvianFissureExt_R,Sulcus_R,CSF
264,SylParieSul_L,SylParieSul_L,SylvianFissureExt_L,Sulcus_L,CSF
265,SylParieSul_R,SylParieSul_R,SylvianFissureExt_R,Sulcus_R,CSF
266,ParietSul_L,ParietSul_L,ParietSul_L,Sulcus_L,CSF
267,ParietSul_R,ParietSul_R,ParietSul_R,Sulcus_R,CSF
268,CinguSul_L,CinguSul_L,CinguSul_L,Sulcus_L,CSF
269,CinguSul_R,CinguSul_R,CinguSul_R,Sulcus_R,CSF
270,OcciptSul_L,OcciptSul_L,OcciptSul_L,Sulcus_L,CSF
271,OcciptSul_R,OcciptSul_R,OcciptSul_R,Sulcus_R,CSF
272,TempSul_L,TempSul_L,TempSul_L,Sulcus_L,CSF
273,TempSul_R,TempSul_R,TempSul_R,Sulcus_R,CSF
274,Caudate_tail_L,Caudate_tail_L,BasalGang_L,CerebralNucli_L,Telencephalon_L
275,Fimbria_L,Hippo_L,Limbic_L,CerebralCortex_L,Telencephalon_L
276,Caudate_tail_R,Caudate_tail_R,BasalGang_R,CerebralNucli_R,Telencephalon_R
277,Fimbria_R,Hippo_R,Limbic_R,CerebralCortex_R,Telencephalon_R
278,Chroid_LVetc_L,AnteriorLateralVentricle_L,LateralVentricle_L,Ventricle,CSF
279,Chroid_LVetc_R,AnteriorLateralVentricle_R,LateralVentricle_R,Ventricle,CSF
